Describe the main red herring (if present),How satisfying is this story as a piece of detective fiction?,Plot Summary (25-50 words),Assistant #1 Role,Of what type is the essential clue (if present)?,Story Code,Presence of planted or fabricated evidence,When do(es) the crime(s)/mystery being investigated occur?,In what order are the investigation and reveal portions provided?,"More Than Two Assistants? (If yes, enter total number)","What is the ""reveal border"" sentence?",Are one or more culprits introduced into the story only during the reveal?,Of what type is the main red herring (if present)?,Name of Detective #2,Types of evidence made available in the story,"More Than Two Detectives? (If yes, enter total number)",Detective #1 Role,Of what type is the most salient clue (if clues are present)?,Would you recommend this story to a friend?,Annotator #1 Code,Number of culprits of gender Unknown,Types of crimes or quasi-crimes present in story,Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Annotator #2 Code,Did either annotator personally correctly guess the solution to the crime before the reveal?,Name of Assistant #1,Assistant #2 Role,Number of culprits of gender Non-binary,Types of clues,Number of culprits of gender Female,Name of Assistant #2,Author Code,Story Name,Detective #2 Gender,What is the essential clue in the story (if present)?,Number of culprits of gender Male,The main culprit,Number of victims of gender Female,Detective #1 Gender,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,Is the crime solved?,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,Second author code (if applicable),Means (murder only),What is the most salient clue in the story (if clues are present)?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Crime trajectory,Assistant #2 Gender,Motives,Detective #2 Role,Number of victims of gender Male,Assistant #1 Gender,The story's main action focuses on a,Name of Detective #1,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book,Surname(s),Given Name(s),Sex,publication_year,crime_trajectory
NA,4,A prized racehorse: missing! Trainer: murdered! Sherlock Holmes: investigates!,Independent amateur,Physical clue,MSH01,NA,Before the investigation,Standard,NA,"Sherlock Holmes laughed. “I assure you that I have not associated you with the crime, Colonel,” said he. “The real murderer is standing immediately behind you.” He stepped past and laid his hand upon the glossy neck of the thoroughbred.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,SO,0,"Suspected murder, Theft, Fraud, Mischief, Assault",Yes,WW,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,ACD,Silver Blaze,NA,"the cataract knife (trainer's knife used for surgery, not self defense).",2,Acts mostly alone with some assistance,0,Male,Yes,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Natural causes,The cataract knife.,No,Qrime → different qrime,NA,Greed,NA,3,Male,Crime,Sherlock Holmes,1892-12-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1892,Qrime_to_different_qrime
Photograph of wife in the cottage,2,Mr. Grant Munro approaches Sherlock Holmes to investigate a mysterious yellow face in the windows of a neighboring cottage and the face's entanglement with Munro's wife. Blackmail?! Infidelity?! Is this case as ugly as it seems?,Independent amateur,NA,MSH02,NA,"Before the investigation, During the investigation",Standard,NA,"“I will tell you the meaning of it,” cried the lady, sweeping into the room with a proud, set face",No,Testimonial clue,NA,Testimonial evidence,NA,Independent amateur,Testimonial clue,Yes,SO,0,Fraud,No,WW,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",1,NA,ACD,The Yellow Face,NA,NA,0,Acts alone,0,Male,No,Yes,No,A private client,Police are not present,NA,NA,The description of the rigid and immobile face.,No,No qrime → no qrime,NA,"Pride, Love",NA,0,Male,Quasi-crime,Sherlock Holmes,1893-02-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,No_qrime_to_no_qrime
NA,2,"A clerk is about to start a new job but is instead offered an absurdly lucrative alternative job at a shady new corporation. After a few days of copying addresses and names from a directory, he asks Holmes to figure out what's the deal with his job.",Independent amateur,Testimonial clue,MSH03,NA,"Before the investigation, During the investigation",Standard,NA,“Oh surely if you consider the events at first they can only point to one conclusion.”,Yes,NA,NA,Testimonial evidence,NA,Independent amateur,Testimonial clue,No,SO,0,"Murder, Theft, Fraud, Forgery",No,WW,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,ACD,The Stock-Broker's Clerk,NA,The handwriting samples demanded by the clerk's new employer,2,Acts together with one or more equal partners,0,Male,No,Yes,Yes,A private client,Police are not present,NA,Blunt force trauma,The clerk's new employer tells the clerk not to resign his original job.,No,No qrime → qrime,NA,Greed,NA,2,Male,Crime,Sherlock Holmes,1893-03-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,No_qrime_to_qrime
NA,4,"After a marriage with one of the wealthiest bachelors in England is suddenly broken off with the bride's disappearance on the day of the wedding, Holmes delves into the case, using his detective skills to make sense of a jealous lover, a fallen bouquet, and a possible unknown history.",Independent amateur,Testimonial clue,ASH10,NA,Before the investigation,Standard,NA,“The best possible.”,Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Suspected murder, Fraud",No,JM,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,ACD,The Adventure of the Noble Bachelor,NA,The allusion to claim-jumping by Francis Moulton which references taking possession of something that another person has prior claim to.,1,Acts together with one or more equal partners,0,Male,No,Yes,Yes,A private client,Police are present and contribute significantly to solving the crime,NA,NA,Her changed attitude after dropping the bouquet,No,Qrime → different qrime,NA,Love,NA,1,Male,Quasi-crime,Sherlock Holmes,1892-04-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1892,Qrime_to_different_qrime
Holmes' constant questions regarding the maid's lover who isn't involved in this case at all.,4,"With a squandering son and the disappearance of an entrusted national treasure, Mr. Holder. comes to Holmes with confidence of the truth behind this case of thievery. However, in true Holmes fashion, we soon find out that such a conclusion could not be further from the truth.",Independent amateur,Physical clue,ASH11,NA,Before the investigation,Standard,NA,"""For heaven's sake, tell me, then, what is this extraordinary mystery!""",Yes,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Theft, Assault",Yes,JM,No,John Watson,NA,0,"Illegible, Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",1,NA,ACD,The Adventure of the Beryl Coronet,NA,Footprints in the snow,1,Acts together with one or more equal partners,0,Male,Yes,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,How Mary (the culprit) suddenly closes the window after Mr. Holder appears,No,Qrime → same qrime,NA,"Greed, Love",NA,1,Male,Crime,Sherlock Holmes,1892-05-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1892,Qrime_to_same_qrime
NA,5,"After being offered a well-paid but strange position as a governess, Violet Hunter comes to Holmes seeking his advice. With requirements to cut her hair and dress in particular colors, the profound absurdism of this case proves to only be the surface.",Independent amateur,Physical clue,ASH12,NA,"Before the investigation, During the investigation",Standard,NA,"If there's police-court business over this, you'll remember that I was the one that stood your friend, and that I was Miss Alice's friend too.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,SK,0,"Fraud, Kidnapping",Yes,JM,Yes,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",1,NA,ACD,The Adventure of the Copper Beeches,NA,The hair discovered in the drawer,1,Acts together with one or more equal partners,1,Male,Yes,Yes,Yes,A private client,Police are not present,NA,NA,The hair discovered in the drawer,No,No qrime → qrime,NA,Greed,NA,0,Male,Crime,Sherlock Holmes,1892-06-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1892,No_qrime_to_qrime
NA,5,"Questions demand to be answered when the Blue Carbuncle, a precious gemstone that was stolen from the Countess of Morcar, is mysteriously discovered inside of goose intended to be cooked for a Christmas dinner. Detective Sherlock Holmes investigates the case, in hopes of finding answers to this peculiar mystery.",Independent amateur,Testimonial clue,ASH07,NA,Before the investigation,Standard,NA,A flush sprang to the white cheeks of the stranger.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,ZC,0,"Theft, Assault",No,CC,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,ACD,The Adventure of the Blue Carbuncle,NA,Ryder yelling at the shop-owner in pursuit of his missing goose,1,Acts mostly alone with some assistance,1,Male,Yes,Yes,Yes,A private client,Police are not present,NA,NA,The discovery of the goose supplier from the wager with Mr. Breckinridge,No,Qrime → different qrime,NA,Greed,NA,1,Male,Crime,Sherlock Holmes,1892-01-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1892,Qrime_to_different_qrime
NA,5,"A woman seeks answers pertaining to the unusual death of her sister before her wedding day. With exotic animals on the loose and little to no details, Sherlock Holmes and Watson seek answers to this murder!",Independent amateur,Physical clue,ASH08,NA,"Before the investigation, During the investigation",Standard,NA,“The band! the speckled band!” whispered Holmes.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,ZC,0,"Murder, Assault",No,CC,No,John Watson,NA,0,"Illegible, Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Adventure of the Speckled Band,NA,The chair in the stepfather's room with the lash under it,1,Acts alone,2,Male,No,Yes,Yes,A private client,Police are not present,NA,"Poison, Indirectly, by an elaborate device",The will of the deceased wife (the allowance of the daughters),No,Qrime → same qrime,NA,Greed,NA,0,Male,Crime,Sherlock Holmes,1892-02-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1892,Qrime_to_same_qrime
NA,2,"A hydraulic engineer's thumb was cut off in a disastrous series of events, which began with a well-paying job proposition and ended with foul play. Sherlock Holmes and Watson are tasked with finding the culprits responsible for these deeds.",Independent amateur,Testimonial clue,ASH09,NA,Before the investigation,Standard,NA,"If there's police-court business over this, you'll remember that I was the one that stood your friend, and that I was Miss Alice's friend too.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,ZC,0,"Murder, Assault, Forgery",No,CC,No,John Watson,NA,0,"Illegible, Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,ACD,The Adventure of the Engineer's Thumb,NA,The testimony provided by Victor Hatherley (the hydraulic engineer) when recounting his experience,2,Acts together with one or more equal partners,0,Male,No,No,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Indirectly, by an elaborate device","The unusual stated use of the hydraulic press (i.e., being utilized indoors and for excavating fuller's-earth)",No,Qrime → same qrime,NA,Greed,NA,2,Male,Crime,Sherlock Holmes,1892-03-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1892,Qrime_to_same_qrime
NA,4,"A local businessman was conned in an attempted bank robbery scheme, in which his assistant prompted him to join “The Red-headed League”, which was a cover to dig a tunnel to the bank, and the assistant and his partner were caught with the assistance of Sherlock Holmes and Dr. Watson.",Independent amateur,Physical clue,ASH02,NA,"Before the investigation, After the investigation",Standard,NA,"“John Clay, the murderer, thief, smasher, and forger.",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,ZC,0,"Theft, Fraud, Breaking and entering",No,CC,No,John Watson,NA,0,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,ACD,The Red-Headed League,NA,The assistant's dirty trouser knees,2,Acts mostly alone with some assistance,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The use of the cellar by the assistant,No,No qrime → qrime,NA,Greed,NA,1,Male,Crime,Sherlock Holmes,1891-08-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1891,No_qrime_to_qrime
