Timestamp,Annotator #1 Code,Annotator #2 Code,Story Code,Story Name,Plot Summary (25-50 words),Author Code,Second author code (if applicable),In what order are the investigation and reveal portions provided?,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,"More Than Two Detectives? (If yes, enter total number)",Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,"More Than Two Assistants? (If yes, enter total number)",Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Are one or more culprits introduced into the story only during the reveal?,The main culprit,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,The story's main action focuses on a,When do(es) the crime(s)/mystery being investigated occur?,Types of crimes or quasi-crimes present in story,Motives,Means (murder only),Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Did either annotator personally correctly guess the solution to the crime before the reveal?,Types of clues,What is the essential clue in the story (if present)?,Of what type is the essential clue (if present)?,What is the most salient clue in the story (if clues are present)?,Of what type is the most salient clue (if clues are present)?,Describe the main red herring (if present),Of what type is the main red herring (if present)?,Presence of planted or fabricated evidence,Types of evidence made available in the story,Is the crime solved?,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,How satisfying is this story as a piece of detective fiction?,Would you recommend this story to a friend?,"Upload plain text file here, named as [STORY CODE].txt",Crime trajectory,"What is the ""reveal border"" sentence?"
2021-05-11T12:32:30Z,SO,WW,MSH01,Silver Blaze,A prized racehorse: missing! Trainer: murdered! Sherlock Holmes: investigates!,ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,3,0,,,,2,1,0,0,No,Acts mostly alone with some assistance,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Suspected murder, Theft, Fraud, Mischief, Assault",Greed,Natural causes,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","the cataract knife (trainer's knife used for surgery, not self defense).",Physical clue,The cataract knife.,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,https://drive.google.com/open?id=1aToZLYwbaXwn89X-ji1foFE70mJwMER4,Qrime → different qrime,"Sherlock Holmes laughed. “I assure you that I have not associated you with the crime, Colonel,” said he. “The real murderer is standing immediately behind you.” He stepped past and laid his hand upon the glossy neck of the thoroughbred."
2021-05-11T12:56:58Z,SO,WW,MSH02,The Yellow Face,Mr. Grant Munro approaches Sherlock Holmes to investigate a mysterious yellow face in the windows of a neighboring cottage and the face's entanglement with Munro's wife. Blackmail?! Infidelity?! Is this case as ugly as it seems?,ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,0,,,,0,1,0,0,No,Acts alone,A private client,Police are not present,Quasi-crime,"Before the investigation, During the investigation",Fraud,"Pride, Love",NA,No,No,No,"Legible but not usable (legible → not usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",NA,NA,The description of the rigid and immobile face.,Testimonial clue,Photograph of wife in the cottage,Testimonial clue,NA,Testimonial evidence,No,No,Yes,2,Yes,https://drive.google.com/open?id=1KF3pnFTZXW18im2zeYVBluEAgbn8okAd,No qrime → no qrime,"“I will tell you the meaning of it,” cried the lady, sweeping into the room with a proud, set face"
2021-05-11T13:15:22Z,SO,WW,MSH03,The Stock-Broker's Clerk,"A clerk is about to start a new job but is instead offered an absurdly lucrative alternative job at a shady new corporation. After a few days of copying addresses and names from a directory, he asks Holmes to figure out what's the deal with his job.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,,,,2,0,0,0,Yes,Acts together with one or more equal partners,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Forgery",Greed,Blunt force trauma,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The handwriting samples demanded by the clerk's new employer,Testimonial clue,The clerk's new employer tells the clerk not to resign his original job.,Testimonial clue,NA,NA,NA,Testimonial evidence,Yes,No,Yes,2,No,https://drive.google.com/open?id=1JvAAsIRPLd9Vrb0MSDZPjnz3fQ0dVIf9,No qrime → qrime,“Oh surely if you consider the events at first they can only point to one conclusion.”
2021-05-11T17:00:15Z,SK,JM,ASH10,The Adventure of the Noble Bachelor,"After a marriage with one of the wealthiest bachelors in England is suddenly broken off with the bride's disappearance on the day of the wedding, Holmes delves into the case, using his detective skills to make sense of a jealous lover, a fallen bouquet, and a possible unknown history.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,1,1,0,0,Yes,Acts together with one or more equal partners,A private client,Police are present and contribute significantly to solving the crime,Quasi-crime,Before the investigation,"Suspected murder, Fraud",Love,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The allusion to claim-jumping by Francis Moulton which references taking possession of something that another person has prior claim to.,Testimonial clue,Her changed attitude after dropping the bouquet,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,https://drive.google.com/open?id=1-C7I5DA272DaHJ3xkv19ZZhs1L1YA27U,Qrime → different qrime,“The best possible.”
2021-05-11T17:24:06Z,SK,JM,ASH11,The Adventure of the Beryl Coronet,"With a squandering son and the disappearance of an entrusted national treasure, Mr. Holder. comes to Holmes with confidence of the truth behind this case of thievery. However, in true Holmes fashion, we soon find out that such a conclusion could not be further from the truth.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,1,1,0,0,Yes,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Theft, Assault","Greed, Love",NA,Yes,No,No,"Illegible, Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Footprints in the snow,Physical clue,How Mary (the culprit) suddenly closes the window after Mr. Holder appears,Testimonial clue,Holmes' constant questions regarding the maid's lover who isn't involved in this case at all.,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,https://drive.google.com/open?id=1zStvxMkXDmBvaAJ_2J3NjJBhdoTVYw8H,Qrime → same qrime,"""For heaven's sake, tell me, then, what is this extraordinary mystery!"""
2021-05-11T17:40:13Z,SK,JM,ASH12,The Adventure of the Copper Beeches,"After being offered a well-paid but strange position as a governess, Violet Hunter comes to Holmes seeking his advice. With requirements to cut her hair and dress in particular colors, the profound absurdism of this case proves to only be the surface.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,1,,,,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Fraud, Kidnapping",Greed,NA,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The hair discovered in the drawer,Physical clue,The hair discovered in the drawer,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,https://drive.google.com/open?id=1-bEbQltuNeQ_zHnAYH1P7_fVRQD8nKy3,No qrime → qrime,"If there's police-court business over this, you'll remember that I was the one that stood your friend, and that I was Miss Alice's friend too."
2021-05-12T01:46:38Z,ZC,CC,ASH07,The Adventure of the Blue Carbuncle,"Questions demand to be answered when the Blue Carbuncle, a precious gemstone that was stolen from the Countess of Morcar, is mysteriously discovered inside of goose intended to be cooked for a Christmas dinner. Detective Sherlock Holmes investigates the case, in hopes of finding answers to this peculiar mystery.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,1,,,,1,1,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Before the investigation,"Theft, Assault",Greed,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Ryder yelling at the shop-owner in pursuit of his missing goose,Testimonial clue,The discovery of the goose supplier from the wager with Mr. Breckinridge,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,https://drive.google.com/open?id=1MoKxG-qhFK8tn0K-n7FOldR4iR_UqOPf,Qrime → different qrime,A flush sprang to the white cheeks of the stranger.
2021-05-12T01:51:27Z,ZC,CC,ASH08,The Adventure of the Speckled Band,"A woman seeks answers pertaining to the unusual death of her sister before her wedding day. With exotic animals on the loose and little to no details, Sherlock Holmes and Watson seek answers to this murder!",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,2,,,,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Murder, Assault",Greed,"Poison, Indirectly, by an elaborate device",No,No,No,"Illegible, Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The chair in the stepfather's room with the lash under it,Physical clue,The will of the deceased wife (the allowance of the daughters),Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,https://drive.google.com/open?id=1eaEFWDO5JY3MjJ7WR-JXpKyvzwEKwluv,Qrime → same qrime,“The band! the speckled band!” whispered Holmes.
2021-05-12T02:08:32Z,ZC,CC,ASH09,The Adventure of the Engineer's Thumb,"A hydraulic engineer's thumb was cut off in a disastrous series of events, which began with a well-paying job proposition and ended with foul play. Sherlock Holmes and Watson are tasked with finding the culprits responsible for these deeds.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,,,,2,1,0,0,No,Acts together with one or more equal partners,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Assault, Forgery",Greed,"Indirectly, by an elaborate device",No,No,No,"Illegible, Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The testimony provided by Victor Hatherley (the hydraulic engineer) when recounting his experience,Testimonial clue,"The unusual stated use of the hydraulic press (i.e., being utilized indoors and for excavating fuller's-earth)",Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,https://drive.google.com/open?id=1xQRD1TFyO7rlY4iz6WiclUTynA14_YNd,Qrime → same qrime,"If there's police-court business over this, you'll remember that I was the one that stood your friend, and that I was Miss Alice's friend too."
2021-05-12T21:46:41Z,ZC,CC,ASH02,The Red-Headed League,"A local businessman was conned in an attempted bank robbery scheme, in which his assistant prompted him to join “The Red-headed League”, which was a cover to dig a tunnel to the bank, and the assistant and his partner were caught with the assistance of Sherlock Holmes and Dr. Watson.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,2,0,0,0,Yes,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, After the investigation","Theft, Fraud, Breaking and entering",Greed,NA,No,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The assistant's dirty trouser knees,Physical clue,The use of the cellar by the assistant,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,https://drive.google.com/open?id=1VArha6tzOhxLaNrrr06J90PY4EtVqHUS,No qrime → qrime,"“John Clay, the murderer, thief, smasher, and forger."
